time_elapsed,butterfly_ok,calendar_ok,no_arbitrage,max_cond1,max_cond2,pct_butterfly_violations,n_calendar_violations,pct_calendar_violations,worst_negative_diff
101,True,True,True,0.5362077001672464,1.3562014528959543,0.0,0,0.0,0.0
102,True,True,True,0.5531376288582681,1.3702228081237386,0.0,0,0.0,0.0
105,True,True,True,0.5348731334688898,1.2504157350246687,0.0,0,0.0,0.0
106,True,True,True,0.5428230490257369,1.3499285257256453,0.0,0,0.0,0.0
107,True,True,True,0.5442905741736814,1.3483462682725293,0.0,0,0.0,0.0
108,True,True,True,0.5255178449772819,1.214513671782235,0.0,0,0.0,0.0
109,True,True,True,0.5251668837175746,1.276847229103577,0.0,0,0.0,0.0
112,True,True,True,0.5100751382205102,1.1738444648777824,0.0,0,0.0,0.0
113,True,True,True,0.5325331165807407,1.203610480874102,0.0,0,0.0,0.0
114,True,True,True,0.535069810310363,1.2246327870735576,0.0,0,0.0,0.0
115,True,True,True,0.5202024779167946,1.182284826776121,0.0,0,0.0,0.0
116,True,True,True,0.546999187535075,1.2156548722164835,0.0,0,0.0,0.0
119,True,True,True,0.5497989534227791,1.2886164999654317,0.0,0,0.0,0.0
120,True,True,True,0.5723582070385996,1.2392838166347444,0.0,0,0.0,0.0
128,True,True,True,0.6096233930951175,1.3260602848867942,0.0,0,0.0,0.0
168,True,True,True,0.6316427665992411,1.4078957949552071,0.0,0,0.0,0.0
169,True,True,True,0.6408207610335874,1.3520387955595352,0.0,0,0.0,0.0
191,True,True,True,0.7136475348135959,1.5154559587969694,0.0,0,0.0,0.0
197,True,True,True,0.6327109885069521,1.166926706332705,0.0,0,0.0,0.0
199,True,True,True,0.6980653124483013,1.5082512359211555,0.0,0,0.0,0.0
200,True,True,True,0.6535518153331235,1.3365548638198927,0.0,0,0.0,0.0
203,True,True,True,0.672943682365969,1.4980270960430102,0.0,0,0.0,0.0
204,True,True,True,0.6290282578085564,1.346748175421881,0.0,0,0.0,0.0
205,True,True,True,0.6607661158069746,1.508651390620526,0.0,0,0.0,0.0
206,True,True,True,0.6335155090655729,1.3851453918259589,0.0,0,0.0,0.0
207,True,True,True,0.6117958924500927,1.2830832847502363,0.0,0,0.0,0.0
210,True,True,True,0.642981710016437,1.5705156872610768,0.0,0,0.0,0.0
211,True,True,True,0.6511895356758147,1.5671318163417445,0.0,0,0.0,0.0
212,True,True,True,0.6286159998718099,1.4936270950167652,0.0,0,0.0,0.0
213,True,True,True,0.6107574474110524,1.3796242916395702,0.0,0,0.0,0.0
214,True,True,True,0.6087851613368057,1.3743838304531848,0.0,0,0.0,0.0
217,True,True,True,0.5962626388058343,1.3072420078473852,0.0,0,0.0,0.0
218,True,True,True,0.65111276812499,1.5690473329067876,0.0,0,0.0,0.0
219,True,True,True,0.6793963417497505,1.540201617623831,0.0,0,0.0,0.0
225,True,True,True,0.7234401964219277,1.7316498846234931,0.0,0,0.0,0.0
241,True,True,True,0.7405885818662996,1.8447472471079167,0.0,0,0.0,0.0
242,True,True,True,0.673009358470657,1.5681354317657419,0.0,0,0.0,0.0
246,True,True,True,0.7206508390907322,1.7677319580074642,0.0,0,0.0,0.0
247,True,True,True,0.7335401730815428,1.876006313086591,0.0,0,0.0,0.0
248,True,True,True,0.7363888785308078,1.93586414007942,0.0,0,0.0,0.0
249,True,True,True,0.7907679931731206,2.29832772708988,0.0,0,0.0,0.0
252,True,True,True,0.7274747706230295,2.0423832166646543,0.0,0,0.0,0.0
253,True,True,True,0.6845336197771278,1.790310947831189,0.0,0,0.0,0.0
254,True,True,True,0.6595113322687695,1.6594684728046696,0.0,0,0.0,0.0
255,True,True,True,0.685904847933004,1.792160530136787,0.0,0,0.0,0.0
256,True,True,True,0.7277983391646561,1.9898161655005315,0.0,0,0.0,0.0
259,True,True,True,0.6134611948178175,1.4367864589748949,0.0,0,0.0,0.0
260,True,True,True,0.6402253789467616,1.5425802594749498,0.0,0,0.0,0.0
261,True,True,True,0.5880299655119935,1.2609644271169465,0.0,0,0.0,0.0
262,True,True,True,0.6386274929212663,1.4541762636298012,0.0,0,0.0,0.0
263,True,True,True,0.6072275892434983,1.3756533887595848,0.0,0,0.0,0.0
266,True,True,True,0.645531218231902,1.540498177319662,0.0,0,0.0,0.0
267,True,True,True,0.6885245297236868,1.7861635115479997,0.0,0,0.0,0.0
268,True,True,True,0.6965341349616472,1.7791451613207518,0.0,0,0.0,0.0
269,True,True,True,0.6588279601413166,1.553342229984057,0.0,0,0.0,0.0
270,True,True,True,0.6392157462377824,1.4750985048353593,0.0,0,0.0,0.0
273,True,True,True,0.6823497514475096,1.6505959140447073,0.0,0,0.0,0.0
274,True,True,True,0.6657276337775254,1.65098248797877,0.0,0,0.0,0.0
275,True,True,True,0.6548013456792273,1.5782482972119285,0.0,0,0.0,0.0
276,True,True,True,0.6483070126272041,1.5191137921123847,0.0,0,0.0,0.0
277,True,True,True,0.6411375579470118,1.5362536524045836,0.0,0,0.0,0.0
280,True,True,True,0.6480288614554289,1.5959017457820355,0.0,0,0.0,0.0
281,True,True,True,0.6072741485053305,1.4211125219399414,0.0,0,0.0,0.0
282,True,True,True,0.6072683150749928,1.463347846550641,0.0,0,0.0,0.0
283,True,True,True,0.6147396710051226,1.4971381934970058,0.0,0,0.0,0.0
284,True,True,True,0.6119362418608022,1.4885426572888423,0.0,0,0.0,0.0
287,True,True,True,0.5770886104180046,1.3476192808702374,0.0,0,0.0,0.0
288,True,True,True,0.5865290607870035,1.3491605464597545,0.0,0,0.0,0.0
289,True,True,True,0.5994898606555743,1.5015159429932206,0.0,0,0.0,0.0
290,True,True,True,0.6448580899605058,1.846418999650169,0.0,0,0.0,0.0
291,True,True,True,0.6124007964703616,1.6956721375233808,0.0,0,0.0,0.0
294,True,True,True,0.5838567280173136,1.5814901302927469,0.0,0,0.0,0.0
295,True,True,True,0.5808476361557496,1.6042593390518565,0.0,0,0.0,0.0
296,True,True,True,0.5894701156037494,1.6737869265598428,0.0,0,0.0,0.0
297,True,True,True,0.6007386820713554,1.7687831355385515,0.0,0,0.0,0.0
298,True,True,True,0.5352343637540049,1.369645752275453,0.0,0,0.0,0.0
301,True,True,True,0.5713820556832416,1.578329528418864,0.0,0,0.0,0.0
302,True,True,True,0.5478266567414977,1.4666370506579574,0.0,0,0.0,0.0
303,True,True,True,0.548478078902589,1.590394159093678,0.0,0,0.0,0.0
304,True,True,True,0.5219713214237292,1.5594284918847294,0.0,0,0.0,0.0
305,True,True,True,0.5446389485650054,1.6810745457609055,0.0,0,0.0,0.0
308,True,True,True,0.5352599850021251,1.619825737625286,0.0,0,0.0,0.0
309,True,True,True,0.5401517376570623,1.6089615997396267,0.0,0,0.0,0.0
310,True,True,True,0.5446815253939652,1.6491381723793797,0.0,0,0.0,0.0
311,True,True,True,0.5394924307350624,1.586451963733988,0.0,0,0.0,0.0
312,True,True,True,0.5610339365177128,1.6081632476161745,0.0,0,0.0,0.0
315,True,True,True,0.5554275900153613,1.5844144191976617,0.0,0,0.0,0.0
316,True,True,True,0.5934001700296646,1.7280315817716363,0.0,0,0.0,0.0
317,True,True,True,0.5668028586442911,1.5606357203423162,0.0,0,0.0,0.0
318,True,True,True,0.541067469356635,1.4848310551284487,0.0,0,0.0,0.0
