time_elapsed,alpha,beta,rho,eta,gamma,success,cost,rmse_w,rmse_iv,mae_iv,n_obs,n_left_put_otm,n_right_call_otm,n_atm,flag_unbalanced_smile,message,tte_min,tte_max,moneyness_min,moneyness_max
74,,,,,,False,,,,,0,0,0,0,True,Only 58 obs for 74 after cleaning — need >= 100.,,,,
77,,,,,,False,,,,,0,0,0,0,True,Only 79 obs for 77 after cleaning — need >= 100.,,,,
78,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 78 after cleaning — need >= 100.,,,,
79,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 79 after cleaning — need >= 100.,,,,
80,,,,,,False,,,,,0,0,0,0,True,Only 80 obs for 80 after cleaning — need >= 100.,,,,
81,,,,,,False,,,,,0,0,0,0,True,Only 80 obs for 81 after cleaning — need >= 100.,,,,
84,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 84 after cleaning — need >= 100.,,,,
85,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 85 after cleaning — need >= 100.,,,,
86,,,,,,False,,,,,0,0,0,0,True,Only 80 obs for 86 after cleaning — need >= 100.,,,,
87,,,,,,False,,,,,0,0,0,0,True,Only 82 obs for 87 after cleaning — need >= 100.,,,,
91,,,,,,False,,,,,0,0,0,0,True,Only 85 obs for 91 after cleaning — need >= 100.,,,,
92,,,,,,False,,,,,0,0,0,0,True,Only 86 obs for 92 after cleaning — need >= 100.,,,,
93,,,,,,False,,,,,0,0,0,0,True,Only 82 obs for 93 after cleaning — need >= 100.,,,,
94,,,,,,False,,,,,0,0,0,0,True,Only 85 obs for 94 after cleaning — need >= 100.,,,,
95,,,,,,False,,,,,0,0,0,0,True,Only 86 obs for 95 after cleaning — need >= 100.,,,,
98,,,,,,False,,,,,0,0,0,0,True,Only 86 obs for 98 after cleaning — need >= 100.,,,,
99,,,,,,False,,,,,0,0,0,0,True,Only 87 obs for 99 after cleaning — need >= 100.,,,,
100,,,,,,False,,,,,0,0,0,0,True,Only 91 obs for 100 after cleaning — need >= 100.,,,,
101,-3.2280395448722596,1.1651653129757464,-0.690314282625199,1.1647755560776223,0.37349086004202214,True,1.3950659309516637e-05,0.00046918262522342393,0.0011436573371745636,0.0009052283232036813,112,30,56,26,False,`gtol` termination condition is satisfied.,0.673972602739726,2.6876712328767125,-0.0860924354699249,0.1989229256137179
102,-3.1562311400813905,1.1503980997767984,-0.6833135976609885,1.1622432232590993,0.37463214529903455,True,7.19364953501015e-06,0.0003524911029882489,0.0007971818150222981,0.0006184870665769042,105,20,55,30,False,`gtol` termination condition is satisfied.,0.6712328767123288,2.684931506849315,-0.0704674666687416,0.1947479266928845
105,-3.1451848240435765,1.1533250075434842,-0.7069461420959652,1.0661316870329527,0.3907005825588284,True,1.535864109895361e-05,0.0004916198280828307,0.0012896137290012248,0.0009754120103265831,105,22,55,28,False,`gtol` termination condition is satisfied.,0.663013698630137,2.6767123287671235,-0.075337474323123,0.1901218897299546
106,-3.1920487621862805,1.1662563336826979,-0.6870208373770443,1.1386472745363256,0.38200392175142034,True,1.4691628310205598e-05,0.0004898583769103744,0.0013353659424680025,0.0010338269023762582,111,28,57,26,False,`gtol` termination condition is satisfied.,0.6602739726027397,2.673972602739726,-0.0833726323770828,0.1993108621943262
107,-3.1618845487242737,1.1516282492297694,-0.6735392184376137,1.1436031065160326,0.3807037274892643,True,1.954004334692637e-05,0.000550532165679931,0.0014463716394990144,0.0010889716999427095,106,24,54,28,False,`gtol` termination condition is satisfied.,0.6575342465753424,2.671232876712329,-0.0792159646445939,0.1863770509738781
108,-3.158536995815108,1.1648027726212669,-0.7060501358537147,1.0617731679948894,0.38594122491227806,True,1.2576727789243364e-05,0.0004739612433015964,0.0013405031082316485,0.0010280260995104188,108,26,56,26,False,`gtol` termination condition is satisfied.,0.6547945205479452,2.6684931506849314,-0.080561123839929,0.1994207074542446
109,-3.173163772580441,1.1420033998318777,-0.6836638324815366,1.1001205539292742,0.38618688034566606,True,1.2803391083852136e-05,0.0004968462863518252,0.0012477584553846712,0.0009259419649331282,113,30,55,28,False,`gtol` termination condition is satisfied.,0.6520547945205479,2.665753424657534,-0.0894301768004757,0.1950076806819837
112,-3.1526573447598167,1.1361747179164843,-0.7082730262684978,1.0650887073491917,0.3772587647954858,True,1.0511228910658452e-05,0.0004490523759252813,0.0009306903831059808,0.0006824935177323848,113,30,55,28,False,`gtol` termination condition is satisfied.,0.6438356164383562,2.6575342465753424,-0.0856744582542502,0.1979865228312365
113,-3.0290106485243458,1.0862377430177617,-0.6869084306487614,1.068207494459293,0.3807342665769347,True,1.1757131910817428e-05,0.0004962815997362576,0.0011727689968631016,0.000918257177101751,104,20,60,24,False,`gtol` termination condition is satisfied.,0.6410958904109589,2.654794520547945,-0.0636988204847917,0.1991867357219771
114,-3.0525540311036927,1.1032831567334775,-0.6872947483566156,1.0400335021650395,0.399065361500506,True,1.0301796485596924e-05,0.0005565445448123683,0.001213032557539728,0.0007574603663393938,105,20,55,30,False,`gtol` termination condition is satisfied.,0.6383561643835617,2.652054794520548,-0.070936443202848,0.1957796517542612
