,Pers|global,HAR|global,HAR-J|global,HAR-CJ|global,Pers|1M,HAR|1M,HAR-J|1M,HAR-CJ|1M,Pers|3M,HAR|3M,HAR-J|3M,HAR-CJ|3M,Pers|6M,HAR|6M,HAR-J|6M,HAR-CJ|6M,Pers|1Y,HAR|1Y,HAR-J|1Y,HAR-CJ|1Y,Pers|2Y,HAR|2Y,HAR-J|2Y,HAR-CJ|2Y,HAR-J|global|WF
2019-06-19,-5.610887181873227,-5.882893607355267,-5.881706745637027,-5.912840968795051,-5.259540554712332,-5.440170100918847,-5.437750490072412,-5.484025109140744,-5.5122416151797555,-5.809995193640306,-5.807630978790729,-5.842006389686333,-5.681725325353708,-6.019962114590746,-6.014270090141278,-6.038299682451431,-5.923418574761625,-6.26692177835,-6.254999802235976,-6.270937364804743,-6.293928787949455,-6.581483662535153,-6.570909469385475,-6.574824421953878,-5.8762460249328505
2019-06-20,-5.614221045800745,-5.925878379963132,-5.9244182715213105,-5.9056520823028515,-5.263213459066012,-5.537914886459893,-5.536062539439115,-5.481230518132817,-5.5159881695789315,-5.84886800963886,-5.8461894645896795,-5.828390558519663,-5.68544070403953,-6.019693205796253,-6.0141455199718346,-6.018326694148647,-5.925963099018041,-6.249669162168527,-6.238092387744637,-6.256255808457702,-6.292297884738404,-6.598201054611257,-6.585781944680282,-6.611486004397204,-5.9170546777907935
2019-06-21,-5.622417288966464,-5.699080649905344,-5.698378715299918,-5.754946993606128,-5.2667859647857505,-5.294522298390473,-5.292272490224597,-5.355304370551225,-5.524699569728347,-5.610979296131056,-5.609052674368229,-5.668774042352064,-5.69669445118181,-5.803724426789381,-5.799107414873224,-5.850080632434768,-5.93980113554693,-6.057330198042235,-6.04875734454424,-6.0893436074110845,-6.312827998002741,-6.449349578600759,-6.440819099820965,-6.468938632882423,-5.6975222012787095
2019-06-24,-5.620715220746877,-5.76623062881675,-5.76482682198139,-5.739459491066661,-5.266601924928826,-5.3774099887060585,-5.375789930719387,-5.345022483411084,-5.522125309169973,-5.6667836153905276,-5.664163058139232,-5.650537108314896,-5.693623264417432,-5.839930371899646,-5.835137917697169,-5.829472887230046,-5.936745553824035,-6.078328539743126,-6.0701498244894925,-6.068600001612578,-6.311146457358987,-6.4685973148616025,-6.46174285015571,-6.457313628270909,-5.760905259439202
2019-06-25,-5.654621465947298,-5.58756411576349,-5.5879267859417485,-5.646830917981593,-5.280993829077965,-5.195910021294938,-5.193679072752917,-5.2572138821305385,-5.561612375675927,-5.497445937586769,-5.496624576747064,-5.559038223848999,-5.744372447043322,-5.688116056136327,-5.685511428323715,-5.7403925254847445,-5.994819421705347,-5.948183982804382,-5.944462979898654,-5.985833123281401,-6.370917887183235,-6.356893790736974,-6.353853701815113,-6.379319563424388,-5.589672586616473
2019-06-26,-5.662568611184509,-5.788628798068934,-5.787990986967388,-5.678110453289614,-5.289544910596599,-5.401459241072487,-5.39996668836955,-5.296237474157588,-5.570160914018802,-5.689245152539664,-5.687423718093276,-5.588497616478495,-5.752197845625585,-5.847374151156612,-5.844713646673925,-5.764397860210113,-6.000967781327362,-6.07024778970788,-6.0674121929407505,-6.003562375942984,-6.373252509223284,-6.42347295509079,-6.423433747071037,-6.386526450877324,-5.782053640428529
2019-06-27,-5.685425934704464,-5.67378249362388,-5.674753091182384,-5.670735544413187,-5.305770872673919,-5.288013221412927,-5.285571738078018,-5.283499522919681,-5.59486209125874,-5.571912750242996,-5.571718959198996,-5.5769430020210935,-5.780586899781332,-5.752563544940953,-5.751125434792262,-5.760046393632456,-6.032695489829681,-6.009666282217415,-6.008199806295353,-6.012642883612867,-6.406682837085228,-6.425264851579033,-6.425141277721496,-6.420444782993258,-5.673449600255046
2019-06-28,-5.688946830599832,-5.624686435369353,-5.626167504841974,-5.6723019895679485,-5.310618451313786,-5.244192813694691,-5.24127677622714,-5.292868682974251,-5.598862582872058,-5.5228480572247864,-5.523146147421783,-5.573641577302815,-5.78303160735837,-5.709367239325441,-5.708109247429245,-5.753606319652541,-6.031567431214604,-5.973930969046991,-5.972279640646124,-6.005922801647719,-6.408725212649962,-6.4065816609811135,-6.405388258015564,-6.42419627627669,-5.626923851390986
2019-07-01,-5.69652830305217,-5.550300604069155,-5.552026208530252,-5.602098863365751,-5.329142118897463,-5.1838530649437145,-5.180719146283495,-5.23444095368128,-5.6070756211067705,-5.452393098757262,-5.452909080564041,-5.505784796632125,-5.782760615197596,-5.629699446598771,-5.62863122911489,-5.678543680144413,-6.018492452528517,-5.885449343292974,-5.8840911950875885,-5.922843180151669,-6.386801358895558,-6.312889369911579,-6.311828537921293,-6.334613599448001,-5.554531163478469
2019-07-02,-5.715892103638538,-5.584609002875474,-5.586968433842911,-5.629040856480275,-5.332514745088317,-5.190297333794577,-5.187036762767421,-5.2441234233806036,-5.632945125852849,-5.498475417151579,-5.499763680865726,-5.540729056465513,-5.814886386279067,-5.685852519068522,-5.685809390186983,-5.720659397804801,-6.054865188430533,-5.939693156844606,-5.940108265180783,-5.965595981720853,-6.4322191050156,-6.3663500311071175,-6.367601445296447,-6.3827299792818115,-5.588602506315659
