,surface_move,move_1M,move_3M,move_6M,move_1Y,move_2Y
2010-04-15,0.0036101349338034513,0.005282286335911486,0.004522951898664409,0.0035278383537239093,0.002069412498551364,0.000278598007862692
2010-04-16,0.007973008373765253,0.00941018026935371,0.008403532673615148,0.00785296543322393,0.0072887681277470345,0.006624066094698335
2010-04-19,0.001609126105352316,0.0024551362753930293,0.0017025116543900832,0.0012669840715234823,0.0009793072997334516,0.0012066079005796802
2010-04-20,0.004963568347593526,0.006174836688663042,0.005252943736486954,0.0048006199582294636,0.004387197110831556,0.0038948141423134886
2010-04-21,0.004155578949859211,0.005630667600856217,0.004699913739073045,0.004051088172696577,0.0032754865816401637,0.002326036871384161
2010-04-22,0.002213390010073544,0.004033309423650187,0.0022948193334881408,0.00121324949198396,0.0003141026751259684,0.0011794325681826142
2010-04-23,0.0030838288089223747,0.005294518986263724,0.0026835399449038,0.0010975236931210586,0.0012288634529543999,0.003098712480842244
2010-04-26,0.0020526358109930693,0.00290672378534141,0.002061268252598462,0.0017839069719248076,0.0016712421646513929,0.0015470373078970846
2010-04-27,0.017034650698437372,0.023608559186848007,0.01895694551800556,0.016149350561741768,0.013204601027479503,0.009950063315194815
2010-04-28,0.003452721496220219,0.0046854127542869965,0.004119580584455278,0.0034964972997021623,0.0025694284307802664,0.0013619603352239434
2010-04-29,0.008010391407522468,0.011136017109280508,0.009119079378228725,0.007703196443149783,0.006070596750010152,0.004179950526134856
2010-04-30,0.017789108554493747,0.024332134110532935,0.01973644439073992,0.016963603669442065,0.014034311610790178,0.01076829496315064
2010-05-03,0.005250306786940167,0.0057952851680838965,0.005538912688502592,0.005420475547518135,0.0050516949524020355,0.004320016872804488
2010-05-04,0.014494567961676775,0.014975444493746904,0.015003602547770677,0.014771874503996817,0.014267505155957047,0.013391060265881743
2010-05-05,0.012805903667927495,0.019034145375301535,0.013206052469733014,0.010983659262096311,0.00953732937220953,0.008464981359689766
2010-05-10,0.021931918859258732,0.03813942946188474,0.02085880816196412,0.015028053992464178,0.01237514465729844,0.01167701822129091
