maturity,T,sqrt_T,c_star,n_val
1M,0.08333333333333333,0.28867513459481287,4.125385098255663,397
3M,0.25,0.5,3.607153318049401,397
6M,0.5,0.7071067811865476,3.1534732376625483,397
1Y,1.0,1.0,2.4705679613810894,397
2Y,2.0,1.4142135623730951,0.06948999171226829,397
