maturity,mean_vega,coverage_unweighted,coverage_vegaweighted,vega_weighted_shortfall,n
1M,0.03572362590513631,0.9771573604060914,0.9771573604060914,3.732601399845915e-05,394
3M,0.09307725721369742,0.9746192893401016,0.9746192893401016,5.1543655278231095e-05,394
6M,0.16106715816842532,0.9746192893401016,0.9746192893401016,4.735146742895769e-05,394
1Y,0.2703111063184135,0.9670050761421319,0.9670050761421319,6.530539703562966e-05,394
2Y,0.4312478718863117,0.9060913705583756,0.9060913705583756,0.0003871773570974703,394
