,iv_k_-0.30_T_0.08,iv_k_-0.20_T_0.08,iv_k_-0.10_T_0.08,iv_k_-0.05_T_0.08,iv_k_0.00_T_0.08,iv_k_0.05_T_0.08,iv_k_0.10_T_0.08,iv_k_0.20_T_0.08,iv_k_0.30_T_0.08,iv_k_-0.30_T_0.25,iv_k_-0.20_T_0.25,iv_k_-0.10_T_0.25,iv_k_-0.05_T_0.25,iv_k_0.00_T_0.25,iv_k_0.05_T_0.25,iv_k_0.10_T_0.25,iv_k_0.20_T_0.25,iv_k_0.30_T_0.25,iv_k_-0.30_T_0.50,iv_k_-0.20_T_0.50,iv_k_-0.10_T_0.50,iv_k_-0.05_T_0.50,iv_k_0.00_T_0.50,iv_k_0.05_T_0.50,iv_k_0.10_T_0.50,iv_k_0.20_T_0.50,iv_k_0.30_T_0.50,iv_k_-0.30_T_1.00,iv_k_-0.20_T_1.00,iv_k_-0.10_T_1.00,iv_k_-0.05_T_1.00,iv_k_0.00_T_1.00,iv_k_0.05_T_1.00,iv_k_0.10_T_1.00,iv_k_0.20_T_1.00,iv_k_0.30_T_1.00,iv_k_-0.30_T_2.00,iv_k_-0.20_T_2.00,iv_k_-0.10_T_2.00,iv_k_-0.05_T_2.00,iv_k_0.00_T_2.00,iv_k_0.05_T_2.00,iv_k_0.10_T_2.00,iv_k_0.20_T_2.00,iv_k_0.30_T_2.00
2010-04-14,0.005570075597752074,0.005327898397849811,0.005085721197947547,0.004964632597996414,0.004843543998045282,0.004964632597996414,0.005085721197947547,0.005327898397849811,0.005570075597752074,0.006209982402080035,0.0059399831672069916,0.005669983932333946,0.005534984314897423,0.005399984697460901,0.005534984314897423,0.005669983932333946,0.0059399831672069916,0.006209982402080035,0.006651027253735992,0.006361852155747472,0.00607267705775895,0.0059280895087646885,0.005783501959770428,0.0059280895087646885,0.00607267705775895,0.006361852155747472,0.006651027253735992,0.007123395956021067,0.006813683088367979,0.006503970220714889,0.006349113786888343,0.0061942573530617984,0.006349113786888343,0.006503970220714889,0.006813683088367979,0.007123395956021067,0.00762931318883925,0.007297603919759284,0.006965894650679316,0.0068000400161393314,0.006634185381599348,0.0068000400161393314,0.006965894650679316,0.007297603919759284,0.00762931318883925
2010-04-15,0.005873369553299488,0.005618005659677772,0.005362641766056055,0.005234959819245196,0.005107277872434338,0.005234959819245196,0.005362641766056055,0.005618005659677772,0.005873369553299488,0.006431378552962745,0.006151753398486105,0.005872128244009463,0.005732315666771142,0.005592503089532822,0.005732315666771142,0.005872128244009463,0.006151753398486105,0.006431378552962745,0.006810410195587058,0.006514305404474579,0.006218200613362097,0.006070148217805856,0.005922095822249616,0.006070148217805856,0.006218200613362097,0.006514305404474579,0.006810410195587058,0.007211779970685989,0.0068982243197866,0.006584668668887208,0.006427890843437512,0.006271113017987817,0.006427890843437512,0.006584668668887208,0.0068982243197866,0.007211779970685989,0.007636804370357658,0.007304769397733414,0.006972734425109167,0.0068067169387970436,0.006640699452484921,0.0068067169387970436,0.006972734425109167,0.007304769397733414,0.007636804370357658
2010-04-16,0.006201143222635774,0.00593152829991248,0.0056619133771891855,0.005527105915827537,0.0053922984544658905,0.005527105915827537,0.0056619133771891855,0.00593152829991248,0.006201143222635774,0.006735252344966137,0.0064424152864893496,0.006149578228012561,0.006003159698774166,0.005856741169535772,0.006003159698774166,0.006149578228012561,0.0064424152864893496,0.006735252344966137,0.007095662696536507,0.0067871556227740515,0.006478648549011595,0.006324395012130365,0.006170141475249137,0.006324395012130365,0.006478648549011595,0.0067871556227740515,0.007095662696536507,0.007475358980521298,0.007150343372672547,0.006825327764823795,0.006662819960899418,0.006500312156975043,0.006662819960899418,0.006825327764823795,0.007150343372672547,0.007475358980521298,0.007875373207203988,0.007532965676455989,0.00719055814570799,0.007019354380333989,0.00684815061495999,0.007019354380333989,0.00719055814570799,0.007532965676455989,0.007875373207203988
2010-04-19,0.006211989773965149,0.005941903262053622,0.005671816750142094,0.005536773494186329,0.005401730238230565,0.005536773494186329,0.005671816750142094,0.005941903262053622,0.006211989773965149,0.006758042580332831,0.006464214642057492,0.006170386703782151,0.00602347273464448,0.00587655876550681,0.00602347273464448,0.006170386703782151,0.006464214642057492,0.006758042580332831,0.00712700009222137,0.0068171305229943555,0.0065072609537673385,0.00635232616915383,0.006197391384540322,0.00635232616915383,0.0065072609537673385,0.0068171305229943555,0.00712700009222137,0.007516100958337234,0.0071893139601486595,0.006862526961960084,0.0066991334628657955,0.006535739963771508,0.0066991334628657955,0.006862526961960084,0.0071893139601486595,0.007516100958337234,0.007926444911593977,0.007581816871959457,0.007237188832324936,0.0070648748125076745,0.006892560792690415,0.0070648748125076745,0.007237188832324936,0.007581816871959457,0.007926444911593977
2010-04-20,0.0059717447177679035,0.005712103643082343,0.005452462568396782,0.005322642031054,0.005192821493711221,0.005322642031054,0.005452462568396782,0.005712103643082343,0.0059717447177679035,0.006543102912628622,0.006258620177296944,0.005974137441965264,0.005831896074299424,0.005689654706633585,0.005831896074299424,0.005974137441965264,0.006258620177296944,0.006543102912628622,0.006931394729986999,0.006630029741726696,0.006328664753466391,0.0061779822593362385,0.006027299765206087,0.0061779822593362385,0.006328664753466391,0.006630029741726696,0.006931394729986999,0.007342729213407755,0.007023480117172636,0.006704231020937516,0.006544606472819956,0.006384981924702396,0.006544606472819956,0.006704231020937516,0.007023480117172636,0.007342729213407755,0.007778473799533963,0.007440279286510748,0.007102084773487532,0.006932987516975923,0.006763890260464316,0.006932987516975923,0.007102084773487532,0.007440279286510748,0.007778473799533963
2010-04-21,0.006174477895393208,0.005906022334723938,0.0056375667740546686,0.0055033389937200325,0.005369111213385398,0.0055033389937200325,0.0056375667740546686,0.005906022334723938,0.006174477895393208,0.006710867914168981,0.006419091048335547,0.006127314182502113,0.005981425749585396,0.005835537316668679,0.005981425749585396,0.006127314182502113,0.006419091048335547,0.006710867914168981,0.007073017815361438,0.006765495301650072,0.006457972787938705,0.006304211531083021,0.006150450274227338,0.006304211531083021,0.006457972787938705,0.006765495301650072,0.007073017815361438,0.007454711023412429,0.0071305931528292815,0.006806475282246132,0.0066444163469545564,0.006482357411662983,0.0066444163469545564,0.006806475282246132,0.0071305931528292815,0.007454711023412429,0.00785700218680235,0.007515393396071814,0.007173784605341277,0.007002980209976007,0.006832175814610739,0.007002980209976007,0.007173784605341277,0.007515393396071814,0.00785700218680235
2010-04-22,0.006082755550642241,0.005818287918005622,0.005553820285369003,0.005421586469050692,0.0052893526527323835,0.005421586469050692,0.005553820285369003,0.005818287918005622,0.006082755550642241,0.006659135737439797,0.006369608096681546,0.006080080455923294,0.005935316635544167,0.005790552815165041,0.005935316635544167,0.006080080455923294,0.006369608096681546,0.006659135737439797,0.007050573599461864,0.006744026921224393,0.00643748024298692,0.006284206903868183,0.006130933564749448,0.006284206903868183,0.00643748024298692,0.006744026921224393,0.007050573599461864,0.0074650209939316516,0.0071404548637607115,0.00681588873358977,0.006653605668504298,0.006491322603418828,0.006653605668504298,0.00681588873358977,0.0071404548637607115,0.0074650209939316516,0.00790383046906902,0.00756018566606602,0.007216540863063019,0.0070447184615615175,0.006872896060060018,0.0070447184615615175,0.007216540863063019,0.00756018566606602,0.00790383046906902
2010-04-23,0.006212690234278213,0.005942573267570465,0.005672456300862717,0.005537397817508842,0.005402339334154968,0.005537397817508842,0.005672456300862717,0.005942573267570465,0.006212690234278213,0.006716659014306196,0.006424630361510275,0.006132601708714353,0.005986587382316392,0.005840573055918431,0.005986587382316392,0.006132601708714353,0.006424630361510275,0.006716659014306196,0.007055457230705163,0.006748698220674505,0.006441939210643845,0.006288559705628515,0.006135180200613185,0.006288559705628515,0.006441939210643845,0.006748698220674505,0.007055457230705163,0.007411344930311576,0.007089112542037161,0.006766880153762744,0.006605763959625535,0.006444647765488328,0.006605763959625535,0.006766880153762744,0.007089112542037161,0.007411344930311576,0.007785184131938288,0.007446697865332277,0.0071082115987262644,0.006938968465423257,0.006769725332120251,0.006938968465423257,0.0071082115987262644,0.007446697865332277,0.007785184131938288
2010-04-26,0.006321065943001157,0.00604623698895763,0.005771408034914101,0.005633993557892336,0.005496579080870572,0.005633993557892336,0.005771408034914101,0.00604623698895763,0.006321065943001157,0.006812228198537986,0.006516044363818945,0.006219860529099902,0.00607176861174038,0.0059236766943808585,0.00607176861174038,0.006219860529099902,0.006516044363818945,0.006812228198537986,0.007141569872145375,0.006831066834226012,0.006520563796306648,0.0063653122773469645,0.006210060758387283,0.0063653122773469645,0.006520563796306648,0.006831066834226012,0.007141569872145375,0.007486833786584005,0.007161319274123832,0.006835804761663658,0.00667304750543357,0.0065102902492034835,0.00667304750543357,0.006835804761663658,0.007161319274123832,0.007486833786584005,0.007848789713107885,0.0075075379864510215,0.007166286259794157,0.006995660396465724,0.006825034533137292,0.006995660396465724,0.007166286259794157,0.0075075379864510215,0.007848789713107885
2010-04-27,0.007155730911555845,0.006844612176270809,0.006533493440985772,0.0063779340733432525,0.006222374705700735,0.0063779340733432525,0.006533493440985772,0.006844612176270809,0.007155730911555845,0.007503038128734369,0.007176819079658963,0.006850600030583555,0.00668749050604585,0.006524380981508147,0.00668749050604585,0.006850600030583555,0.007176819079658963,0.007503038128734369,0.007730786452313231,0.007394665302212657,0.007058544152112081,0.006890483577061793,0.0067224230020115055,0.006890483577061793,0.007058544152112081,0.007394665302212657,0.007730786452313231,0.00796544788202364,0.007619124061066091,0.007272800240108542,0.0070996383296297655,0.006926476419150992,0.0070996383296297655,0.007272800240108542,0.007619124061066091,0.00796544788202364,0.00820723225930651,0.007850396074119272,0.007493559888932032,0.007315141796338411,0.007136723703744792,0.007315141796338411,0.007493559888932032,0.007850396074119272,0.00820723225930651
