bucket,n,coverage,exceedance,mean_spread_AS,mean_addon,mean_spread_final,addon_share,c_star,regime_high_pct,regime_mid_pct,regime_low_pct
1M,394,0.9771573604060914,0.02284263959390863,0.007755100782894857,0.043225098068918784,0.05098019885181364,0.8478801385948921,4.125385098255651,69.42355889724311,15.288220551378446,15.288220551378446
3M,394,0.9746192893401016,0.025380710659898477,0.007322761574505512,0.0278715648270334,0.03519432640153891,0.7919334641683256,3.607153318049453,69.42355889724311,15.288220551378446,15.288220551378446
6M,394,0.9746192893401016,0.025380710659898477,0.007115251490878431,0.020153685662257226,0.027268937153135654,0.739071183755348,3.1534732376625287,69.42355889724311,15.288220551378446,15.288220551378446
1Y,394,0.9670050761421319,0.03299492385786802,0.006952353137478978,0.012467472121170378,0.019419825258649354,0.6419971320275151,2.4705679613811102,69.42355889724311,15.288220551378446,15.288220551378446
2Y,394,0.9060913705583756,0.09390862944162437,0.006830106323020425,0.00023903054496559906,0.007069136867986024,0.03381325745923559,0.06948999171226779,69.42355889724311,15.288220551378446,15.288220551378446
global,394,0.9619289340101523,0.03807106598984772,0.00719511466175564,0.020791370244869076,0.027986484906624715,0.7429075253107124,3.3783051999327496,69.42355889724311,15.288220551378446,15.288220551378446
