bucket,n,coverage_AS,coverage,coverage_improvement,exceedance,mean_AS,mean_addon,mean_final,addon_share,underquote_loss,overquote_proxy
global,394,0.6116751269035533,0.9619289340101523,0.35025380710659904,0.03807106598984772,0.007195114661755638,0.020791370244869063,0.027986484906624705,0.7429075253107121,0.016015060889882433,0.019042943941431356
1M,394,0.28426395939086296,0.9771573604060914,0.6928934010152283,0.02284263959390863,0.007755100782894856,0.04322509806891889,0.050980198851813756,0.8478801385948922,0.028957260877215223,0.03620449015602232
3M,394,0.5482233502538071,0.9746192893401016,0.4263959390862945,0.025380710659898477,0.00732276157450551,0.02787156482703313,0.03519432640153864,0.791933464168324,0.016525757144786036,0.024988988623756935
6M,394,0.6522842639593909,0.9746192893401016,0.3223350253807107,0.025380710659898477,0.0071152514908784294,0.020153685662257347,0.027268937153135782,0.739071183755349,0.009806527381060939,0.0193457217079094
1Y,394,0.766497461928934,0.9670050761421319,0.20050761421319796,0.03299492385786802,0.006952353137478977,0.012467472121170354,0.01941982525864933,0.6419971320275146,0.006712326013477409,0.013740562146746326
2Y,394,0.8934010152284264,0.9060913705583756,0.012690355329949221,0.09390862944162437,0.006830106323020424,0.00023903054496559893,0.007069136867986023,0.033813257459235586,0.009140380389486337,0.004007570935994946
