,iv_k_-0.30_T_0.08,iv_k_-0.20_T_0.08,iv_k_-0.10_T_0.08,iv_k_-0.05_T_0.08,iv_k_0.00_T_0.08,iv_k_0.05_T_0.08,iv_k_0.10_T_0.08,iv_k_0.20_T_0.08,iv_k_0.30_T_0.08,iv_k_-0.30_T_0.25,iv_k_-0.20_T_0.25,iv_k_-0.10_T_0.25,iv_k_-0.05_T_0.25,iv_k_0.00_T_0.25,iv_k_0.05_T_0.25,iv_k_0.10_T_0.25,iv_k_0.20_T_0.25,iv_k_0.30_T_0.25,iv_k_-0.30_T_0.50,iv_k_-0.20_T_0.50,iv_k_-0.10_T_0.50,iv_k_-0.05_T_0.50,iv_k_0.00_T_0.50,iv_k_0.05_T_0.50,iv_k_0.10_T_0.50,iv_k_0.20_T_0.50,iv_k_0.30_T_0.50,iv_k_-0.30_T_1.00,iv_k_-0.20_T_1.00,iv_k_-0.10_T_1.00,iv_k_-0.05_T_1.00,iv_k_0.00_T_1.00,iv_k_0.05_T_1.00,iv_k_0.10_T_1.00,iv_k_0.20_T_1.00,iv_k_0.30_T_1.00,iv_k_-0.30_T_2.00,iv_k_-0.20_T_2.00,iv_k_-0.10_T_2.00,iv_k_-0.05_T_2.00,iv_k_0.00_T_2.00,iv_k_0.05_T_2.00,iv_k_0.10_T_2.00,iv_k_0.20_T_2.00,iv_k_0.30_T_2.00
2010-04-14,0.3127216490844158,0.26894830976122086,0.21724246167719766,0.1870714691245163,0.153777754596328,0.12331110721457678,0.11197732147212047,0.12200902589912065,0.13802617206436832,0.2847448141165565,0.25136049858261617,0.21372207179414027,0.19305450990250983,0.17144419911643086,0.1504216021012958,0.13401596195346305,0.12489767291568535,0.1313750696959046,0.27219256823172494,0.24507699429886212,0.21546432252519296,0.199731552822061,0.18362049471128686,0.1677471755533044,0.15342281939589436,0.13613571228016785,0.133999545350702,0.2636441364193033,0.24247014219279825,0.22002942911999407,0.20840967677688776,0.1966615741552168,0.18501484123590156,0.1738641750671573,0.15545756717713619,0.14547325694669072,0.25922042214096863,0.24348458956841554,0.22721568186900243,0.2189389060837535,0.2106288560545442,0.20236241535050417,0.19425042665089715,0.17913083805945867,0.16681391108271493
2010-04-15,0.3128435263302937,0.27068024505717314,0.22139556219297002,0.19304749818652367,0.16215104552357185,0.1327922084571745,0.11764590188940814,0.12237846834949045,0.1363306645183878,0.2863305227385711,0.25401476235409703,0.21784292543132588,0.19812079760501816,0.17755646857517082,0.15730785756375035,0.1404133555873747,0.12738716368259384,0.13140652277685072,0.274006672634221,0.24758589037531917,0.21884693230438504,0.20361968837041994,0.18802071343160467,0.17254641497548331,0.15824740615464786,0.139207480695221,0.1348705145678642,0.26502606577831156,0.24418364215205202,0.222112308036514,0.21067987451909104,0.19910166587010586,0.18757544449932323,0.17644270169291498,0.15751849652452943,0.14636614752498214,0.2594221654855584,0.24371747685041614,0.22745800708196484,0.2191712039275551,0.21083567139357465,0.20252234622162363,0.1943347868841952,0.17894831480504755,0.16619572896211351
2010-04-16,0.3251642962749298,0.28182426277028655,0.23134373335025377,0.20246401761580554,0.17120016846665634,0.1415946849949198,0.12567366763630164,0.12963619495796713,0.14387030285939023,0.29607719981087777,0.2631809825168662,0.2265037973938954,0.20660244976083686,0.18594576753438277,0.16567915198523386,0.14865544135474124,0.13471869979844975,0.138296044760793,0.2824310774828675,0.25571548556211576,0.22676699451256938,0.2114915936588876,0.19589591877113294,0.1804687893415035,0.16620141857249765,0.14677686236486007,0.14179306283511411,0.2723153638752149,0.25138780708177944,0.22930218927838844,0.2178993180434127,0.20637851293974976,0.1949333310310269,0.18388761215385122,0.16499449960923798,0.15349905295298605,0.26572444933547096,0.2500654803882415,0.23389815139387535,0.2256776318656695,0.2174220416147781,0.2092003813325634,0.201111210840371,0.18589929525899046,0.17318620778623836
2010-04-19,0.3288865309568303,0.284819969692056,0.23336258222874612,0.2037854201533891,0.17149961831778912,0.14036391589793337,0.12326095230881494,0.12675135080319985,0.1407318132711121,0.29785785567496287,0.264739382169223,0.22774453083792243,0.2076003543983106,0.18657495670065305,0.1657049798359223,0.14777506509294247,0.1322113907748779,0.13505658053259495,0.28353481839314704,0.2568226751015002,0.22783369995959193,0.21249224111291948,0.19676107656993547,0.18107066338645011,0.16633507715368753,0.14541604724422807,0.1391694133854625,0.2731392225485758,0.2523573665550982,0.2303953083305943,0.21902751751990313,0.2075033109351085,0.19598894350473586,0.18476986928417294,0.16507660206244004,0.15232421407171773,0.2666167924562621,0.25115942709793176,0.23517723472792715,0.22703257757158465,0.2188320210462367,0.21063356834153016,0.20252122145395726,0.187052790517548,0.17371294083022876
2010-04-20,0.31993826028965355,0.2766198751811839,0.22592581677592977,0.19672406040494214,0.16486697130133016,0.13474739874062627,0.11974224729351823,0.12531944948189402,0.13989086406601442,0.2914642113459383,0.25853348071825466,0.2216733974798503,0.2015800924391432,0.18064093679496748,0.16005898841464541,0.14296372254468298,0.12998819779991164,0.1342409637943235,0.27832966756346167,0.25157889642547904,0.22250405094461065,0.2071132367020345,0.1913608350716796,0.17575088545639406,0.16133857190641335,0.14211902111641955,0.13769096170414408,0.26886826553368853,0.24792263657662908,0.22577176022456263,0.21431232160452462,0.2027168915808609,0.19118148762442638,0.18004048084257218,0.16103978974975855,0.1496737608964554,0.26310413691697915,0.24744992467343604,0.23126665877989505,0.22302817323586577,0.21474685829424572,0.2064913305278715,0.19836061315801454,0.18305209478024723,0.1702580511453968
2010-04-21,0.325733638944417,0.2820795336959313,0.23117448740300395,0.2020183317395907,0.17046399638479212,0.14087433434192304,0.12570720639551158,0.13078901514912308,0.14554813427274213,0.2955887828645284,0.26262646885337637,0.2258708437318845,0.20593499504609758,0.18527256607611,0.16509255550065993,0.1483466577706915,0.13522054148697793,0.13927207987698656,0.28154084295572857,0.2548782487458138,0.2260041062507147,0.21078455794078652,0.19527074252009458,0.17997087631202394,0.16589939451002872,0.14702416529747633,0.14246780555691826,0.2712246068517123,0.250431177149934,0.22851165610300203,0.21721028357774957,0.2058084674483592,0.1945044566413518,0.18362563626983486,0.16512688539795325,0.15399247866607008,0.26461789241160116,0.24912937282020853,0.23315916195064915,0.2250496995572759,0.2169148574271618,0.20882435425049864,0.20087675047506381,0.18597165174233396,0.1735619744594131
2010-04-22,0.3196239734114594,0.2769649666224416,0.22725205993557535,0.19878698911113651,0.16793174058779609,0.13865435738347623,0.12292373088699704,0.12684043183598828,0.1408137093589972,0.2922255225516066,0.25984479642462294,0.22375411984718202,0.20417403258222638,0.18384435243013997,0.16386445747400527,0.14698698551267314,0.13286066650440903,0.13614169744677518,0.27971469911255,0.25343565006349283,0.2249818081753848,0.20997460522706024,0.19465110620382906,0.17947419676209828,0.16538112308236047,0.14587142644431775,0.14049227827423727,0.2708246483725304,0.2502629426378018,0.22858392210673986,0.2173967746788744,0.2060931034624629,0.19485373977139206,0.1839797262971656,0.16519723350846377,0.1534212269676991,0.265565073475382,0.25020208941279254,0.23435369839510437,0.22629828919306927,0.2182076851405734,0.21014549000930818,0.2022020170858071,0.18719151407309978,0.17447004136737387
2010-04-23,0.3268224820935437,0.28308711562370265,0.2321261537996733,0.20298002892271258,0.17151895651387578,0.14219004242922376,0.1272754380493997,0.13255348797886204,0.14749983077608222,0.2954745842574958,0.2625507453193774,0.2258643847631312,0.20599106284274304,0.18543244584077653,0.16542920032930553,0.14894204766913843,0.13624451815408772,0.14049323975306552,0.2807259477056765,0.25413562397972417,0.2253587254103594,0.210207164838735,0.19478593271267822,0.1796184373867953,0.16573423218762987,0.14732963368240115,0.1431080474923501,0.2697198530130581,0.24900475789349724,0.22718077867880648,0.2159393078917899,0.2046112232986827,0.19340164007433092,0.18264641073057505,0.16449967740537377,0.15377541428404845,0.2624028076857568,0.24697769086874288,0.23108135576868316,0.22301577942926606,0.2149321160760519,0.2069029807165893,0.19903058309174168,0.18433319706421072,0.17221899384916137
2010-04-26,0.32331785949975494,0.2811089104741408,0.23220935995840924,0.20442647996699495,0.1745109757150022,0.14581093601616996,0.12858000203051786,0.12955566197683513,0.14250036357804363,0.29424293855611106,0.26236599807633426,0.22698626323154877,0.20787221365860034,0.188070904565771,0.16854768413175777,0.15166767644798587,0.13583287866691404,0.13773532134637845,0.28057478104427075,0.25473660105120166,0.22683375459146415,0.21214806249089538,0.19716331671952703,0.18229675770088075,0.16838051504097848,0.1483712871537919,0.14192445640424048,0.27035024175175815,0.2501120991571412,0.22879690188570787,0.21780382438974796,0.20669530754689364,0.1956392506124634,0.18491357255809693,0.16618891068245378,0.1540613213292874,0.2634941829333535,0.24831351963570647,0.2326514515458767,0.2246886153705753,0.21668812876930912,0.20871114063488325,0.20084457646506138,0.18594507577468392,0.17324809677000466
2010-04-27,0.3542240523692764,0.3092308694173125,0.25752018442574426,0.22846595563023006,0.19755427242651438,0.16798389668896874,0.14883312866788717,0.14708258269784252,0.1601550866616571,0.31620023922061924,0.2831274866540452,0.24670514796479354,0.22720056381919926,0.20714267442852072,0.1874517685807911,0.17019685692473205,0.15225278221718905,0.15272429991637756,0.297822989535157,0.2714668413193389,0.2432015992825143,0.22842779879742006,0.2134303136532324,0.19860478298437337,0.1846887270322996,0.16391593757594694,0.15602109109093693,0.28341308361118595,0.26309752217845567,0.2418211984949704,0.23090329488731337,0.21990880880432045,0.2089963026848179,0.19841601269099704,0.17975746934658937,0.16707426824289726,0.27272703818321176,0.257696685496649,0.24225338600410068,0.2344283367187288,0.22658395315066227,0.21877806310968367,0.21109035960469094,0.19651544383673922,0.18395818936797556
