,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
iv_k_-0.10_T_0.50,0.15765109120563617,-0.05286933639379205,0.08020132805035078,0.04705176898598069,-0.06244445527881518,-0.06466013118839423,0.011965312384993872,-0.09029846203473609,-0.0837185104661204,-0.05092509143527704
iv_k_-0.05_T_0.50,0.15736004217551874,-0.06750449876549987,0.047998729305216585,0.08024001986486558,-0.02668797987128268,-0.10407305093925151,-0.052401043343471156,-0.0942006118940346,-0.0516700366363646,-0.10588279939287944
iv_k_0.00_T_0.50,0.15661423185565926,-0.07870660738473127,0.010073460685008223,0.1141217305135074,0.01976047821414521,-0.16569498121779666,-0.11265105734769525,-0.1019367025511064,-0.011097141549297852,-0.1285950431733034
iv_k_0.05_T_0.50,0.15588366148715124,-0.07516525876834858,-0.03688078021240268,0.14425312435966778,0.08264438221701606,-0.2284695635924043,-0.10637195591219145,-0.0839407720242009,-0.010651123592392736,0.014430400941707989
iv_k_0.10_T_0.50,0.1558430404364485,-0.03166074842669987,-0.09874567795646672,0.16246297542727708,0.14096810003848367,-0.1841928024145007,0.08597630844911826,0.05254283553900743,-0.14779956394374003,0.29038636044841803
iv_k_0.20_T_0.50,0.14688729475520562,0.16292234928420138,-0.19526598983926707,0.1084391293631785,0.043145169077883405,0.1087412324763147,0.2681405698157237,-0.10346076106216559,-0.0384771150442391,-0.2971724012178558
iv_k_0.30_T_0.50,0.12439924954964902,0.32602884124284076,-0.18128968892866143,-0.05107262268335907,-0.08636749083866553,-0.0657846513362159,0.06635488195026097,-0.21679900261129958,0.2815088882744274,-0.17766063041339133
iv_k_-0.30_T_1.00,0.15690510639531555,-0.0571025038158251,0.040719866911400615,-0.08171901004774729,-0.2727172240516574,-0.07873632933441062,0.1954471685277712,-0.04915580309937431,-0.0655912197545285,0.16101685515007932
iv_k_-0.20_T_1.00,0.15707531698921548,-0.07602289153057823,0.023676208839988635,-0.053885503929643246,-0.19542106525877032,-0.07057674795787533,0.10622756244575858,-0.0662377667671258,-0.07969416823693841,0.047341067124268305
iv_k_-0.10_T_1.00,0.1567795461695203,-0.09444928737301886,0.002605876632407051,-0.023977340791167655,-0.09992425796468016,-0.0765950748214354,-0.001923079378189959,-0.08307513959555798,-0.09348287338967107,-0.08016377086684975
iv_k_-0.05_T_1.00,0.15647752045130248,-0.10179390426442883,-0.010055672495552146,-0.00919175025389689,-0.04383405027266243,-0.0883323938778282,-0.059716609044751755,-0.09174555051510029,-0.09989868387655994,-0.13741802999028774
iv_k_0.00_T_1.00,0.15616751827599062,-0.10571453730873229,-0.024970303478630145,0.004456331272608981,0.01883400505349875,-0.107013369738568,-0.11158251368264317,-0.10020837100657144,-0.10712029131425951,-0.1691968510610634
iv_k_0.05_T_1.00,0.1560331471377159,-0.10264459847886999,-0.04378088749762013,0.01569457333800399,0.08875472161448532,-0.12978466823611673,-0.13868375008582848,-0.10444635554743464,-0.11964048550091964,-0.13588750043777498
iv_k_0.10_T_1.00,0.15629802740563245,-0.08612330339333006,-0.0698229078252321,0.022785939170920966,0.1639947452777463,-0.14452850476743923,-0.10325525285928316,-0.09117427470085691,-0.14524165463239128,0.0158651487581556
iv_k_0.20_T_1.00,0.1558120775589559,0.017551994603223736,-0.1509752778443118,0.015001791444958062,0.25739503514655676,-0.07136068367631199,0.21973965215028113,-0.027605343665471148,-0.1321905165899436,0.2583861256375066
iv_k_0.30_T_1.00,0.14329016549973608,0.18811549418842846,-0.22135470192501694,-0.04335978282994851,0.16290921369576114,-0.001988318888405531,0.39307199049148844,-0.17086584979426067,0.247749497652226,-0.2061655305386649
iv_k_-0.30_T_2.00,0.14957364535063675,-0.1285314500933086,-0.11169922047394651,-0.19174763140588175,-0.3865842403458596,0.01130198424525219,0.15941346194732445,0.13765968051556293,0.1886165359999243,0.2177133062093855
iv_k_-0.20_T_2.00,0.15001054258178576,-0.13907693106175512,-0.10514937809859415,-0.18634871721196167,-0.27273002501340315,0.047255528652190786,0.06349604901236333,0.11589032585637125,0.133739601170285,0.0815444342462662
iv_k_-0.10_T_2.00,0.1502569120579982,-0.14616445149503565,-0.0992379437177352,-0.18292060259745851,-0.14510292267883948,0.0790036920112862,-0.038866167827015165,0.09524906096219121,0.0738006523402583,-0.049882323816786645
iv_k_-0.05_T_2.00,0.15035364951646105,-0.1473112998378785,-0.09710547607421437,-0.1825216035583349,-0.07606466456548958,0.09223354384620044,-0.0890314294859423,0.08552920382010273,0.04295299428935683,-0.10478908478389186
iv_k_0.00_T_2.00,0.15048121558195682,-0.14589106169158506,-0.09611375274893261,-0.1834355229531005,-0.003647182307110498,0.10314272260391091,-0.13451683606743725,0.07626180738815719,0.012775420849074562,-0.14328572571930975
iv_k_0.05_T_2.00,0.150691569453004,-0.1407767965974662,-0.09701563360796536,-0.18607835995819708,0.07187699610913564,0.11147625446029438,-0.1698251994434633,0.06748358910705161,-0.014851561344735293,-0.15423077106677
iv_k_0.10_T_2.00,0.15103373669474407,-0.1303617023185328,-0.10093224802284904,-0.19091522305140857,0.14980711877237451,0.11729799182004866,-0.18646820364481728,0.05926973323545437,-0.036517981749318106,-0.12322143219419883
iv_k_0.20_T_2.00,0.15194685621095963,-0.08433025754015608,-0.12405172999084439,-0.2087794938687474,0.3032878793957473,0.12384799783907134,-0.1169295240150922,0.043655145060584814,-0.032322460255942397,0.10044302957735729
iv_k_0.30_T_2.00,0.1505078983503737,0.011172001663633746,-0.1740654965401827,-0.23748657721150881,0.40622543324176374,0.12401383283404412,0.12492905476330349,0.010849959525761628,0.1279589234260549,0.3427384984940606
