,surface_move,move_1M,move_3M,move_6M,move_1Y,move_2Y
2010-04-15,0.0036101349338034504,0.005282286335911484,0.0045229518986644075,0.003527838353723907,0.0020694124985513617,0.0002785980078626927
2010-04-16,0.007973008373765257,0.009410180269353719,0.008403532673615148,0.007852965433223929,0.007288768127747041,0.006624066094698338
2010-04-19,0.0016091261053523198,0.0024551362753930466,0.0017025116543900917,0.0012669840715234739,0.0009793072997334546,0.0012066079005796637
2010-04-20,0.004963568347593535,0.00617483668866306,0.005252943736486958,0.004800619958229464,0.004387197110831583,0.0038948141423134856
2010-04-21,0.004155578949859218,0.005630667600856223,0.004699913739073049,0.004051088172696589,0.0032754865816401707,0.0023260368713841646
2010-04-22,0.002213390010073546,0.004033309423650187,0.002294819333488157,0.0012132494919839699,0.00031410267512595576,0.001179432568182596
2010-04-23,0.003083828808922378,0.005294518986263718,0.0026835399449038266,0.001097523693121084,0.0012288634529544111,0.003098712480842239
2010-04-26,0.002052635810993068,0.002906723785341418,0.0020612682525984554,0.0017839069719247887,0.0016712421646513963,0.0015470373078970868
2010-04-27,0.01703465069843738,0.023608559186848007,0.018956945518005582,0.016149350561741806,0.013204601027479492,0.00995006331519481
2010-04-28,0.0034527214962202166,0.004685412754286995,0.004119580584455262,0.003496497299702184,0.0025694284307802573,0.0013619603352239315
2010-04-29,0.00801039140752247,0.011136017109280508,0.009119079378228746,0.007703196443149769,0.006070596750010146,0.00417995052613486
2010-04-30,0.017789108554493758,0.024332134110532977,0.019736444390739925,0.016963603669442055,0.014034311610790178,0.010768294963150632
2010-05-03,0.005250306786940163,0.0057952851680839095,0.005538912688502583,0.00542047554751813,0.005051694952402033,0.0043200168728044636
2010-05-04,0.014494567961676764,0.014975444493746907,0.015003602547770667,0.01477187450399681,0.014267505155957028,0.013391060265881707
2010-05-05,0.012805903667927502,0.019034145375301535,0.013206052469733045,0.010983659262096305,0.00953732937220953,0.008464981359689804
2010-05-10,0.02193191885925873,0.03813942946188475,0.020858808161964115,0.015028053992464185,0.012375144657298456,0.011677018221290886
2010-05-11,0.009959191661097048,0.01967901372523973,0.00895568138161362,0.004843936111253441,0.0021935389210536887,0.0004293628501487482
2010-05-12,0.01771825182482976,0.02423223686189965,0.018120252342062923,0.016029242797735696,0.01467682278540004,0.013483012965445476
2010-05-13,0.007843155902348648,0.013529860739469024,0.008501762439524788,0.0059058463590536195,0.003703177273115717,0.0019094065052588588
2010-06-21,0.010437892637005619,0.01732862624952975,0.011468223343895353,0.008395244850402772,0.005536898460306658,0.003436451438469959
2010-06-22,0.010549269318000019,0.011953496714037202,0.011564865069930983,0.010879116267711103,0.00975326568181497,0.008143823777184084
2010-06-23,0.0026355660962298017,0.004672432845584771,0.002876570095206562,0.0018786411733231298,0.0010104379531828134,0.00027291301454256974
2010-06-24,0.01256740021156137,0.014888863992399269,0.013455585057539682,0.01248810397657949,0.011358170602273973,0.010099798008014521
2010-06-25,0.00389834511928699,0.006309502658729268,0.004688358540965419,0.0033511292493240445,0.001719887453098284,8.284708316137248e-05
2010-06-28,0.006015179181639944,0.00972714247868021,0.006616255351300802,0.005030535433389186,0.0035651212986727975,0.0021221193748648766
2010-07-12,0.011194807059709374,0.02022548176961419,0.012012976294727454,0.006997054599729,0.0022687099137344946,0.0043738993479101144
2010-07-13,0.0066397568702411544,0.011379090723382751,0.006850577448268624,0.0048645047929557,0.0035651288010853602,0.0027648126816935997
2010-07-14,0.007521972344684647,0.011092130471238394,0.0080841649004119,0.006506796905131289,0.005401032540165544,0.004796008838442966
2010-07-15,0.003980433644101841,0.004382690463009558,0.0033167597033609943,0.0031577544562928933,0.003935897476140771,0.004852595924056124
2010-07-19,0.008604275853314166,0.010733652458816235,0.009146408569784027,0.00834552286770975,0.007553003247145816,0.006678631594922265
2010-07-20,0.016445761155380347,0.020350776104729226,0.017434597215692883,0.01587357819015886,0.014443991927204799,0.013175607933168666
2010-07-21,0.011164974570876323,0.017759580465147903,0.01221797201474407,0.00935898933217516,0.006920192757486908,0.004808533900254793
2010-07-22,0.00840794292573567,0.010163995693252922,0.009081404225082974,0.00836820312077454,0.007571123654550738,0.006351383565593033
2010-07-23,0.008243666211616188,0.011661209843142017,0.009194090113100078,0.007711770680245423,0.006175796364301967,0.004654372919212285
2010-07-26,0.005400978721691253,0.006836643411646591,0.005230522953628342,0.0048494216642380504,0.0048614792684754955,0.004960233976232003
2010-07-27,0.0038952105248841696,0.006727301319858735,0.002170874234519804,0.0013068716149741337,0.0025822073840175643,0.004185491462596369
2010-07-28,0.003226730598517837,0.005424762439540685,0.0034309816931127252,0.002666485373460459,0.0017511205112531066,0.0008262575756508582
2010-07-29,0.002136253616567635,0.004201257643502259,0.0019183718528946736,0.0009245204196635991,0.00024660995572565417,0.0007560600120286993
2010-07-30,0.004106189160468202,0.006408678180673859,0.004878274737262296,0.003707508985145328,0.0023033600765081748,0.0006197871853232992
2010-08-02,0.00899473406014327,0.00948988418807426,0.00937734251790781,0.00914201269808794,0.00879610729884292,0.008098509102144965
2010-08-03,0.0031272824767635517,0.003437739866424083,0.003192498722886738,0.0032081087117637667,0.003064630998764711,0.002684296983838186
2010-08-04,0.004134835883005637,0.008248301089757534,0.0030850240338410064,0.001134202561359474,0.0012630057306319863,0.002247419812691763
2010-08-05,0.0031595965490178427,0.004877125809368395,0.003443615505785384,0.0028020408341082547,0.0021714785728891117,0.001305241671954984
2010-08-06,0.0022611390557156757,0.0039606202395564135,0.0023653574762391443,0.001643478059519563,0.0010817340217431422,0.0006412112351719901
