,iv_k_-0.30_T_0.08,iv_k_-0.20_T_0.08,iv_k_-0.10_T_0.08,iv_k_-0.05_T_0.08,iv_k_0.00_T_0.08,iv_k_0.05_T_0.08,iv_k_0.10_T_0.08,iv_k_0.20_T_0.08,iv_k_0.30_T_0.08,iv_k_-0.30_T_0.25,iv_k_-0.20_T_0.25,iv_k_-0.10_T_0.25,iv_k_-0.05_T_0.25,iv_k_0.00_T_0.25,iv_k_0.05_T_0.25,iv_k_0.10_T_0.25,iv_k_0.20_T_0.25,iv_k_0.30_T_0.25,iv_k_-0.30_T_0.50,iv_k_-0.20_T_0.50,iv_k_-0.10_T_0.50,iv_k_-0.05_T_0.50,iv_k_0.00_T_0.50,iv_k_0.05_T_0.50,iv_k_0.10_T_0.50,iv_k_0.20_T_0.50,iv_k_0.30_T_0.50,iv_k_-0.30_T_1.00,iv_k_-0.20_T_1.00,iv_k_-0.10_T_1.00,iv_k_-0.05_T_1.00,iv_k_0.00_T_1.00,iv_k_0.05_T_1.00,iv_k_0.10_T_1.00,iv_k_0.20_T_1.00,iv_k_0.30_T_1.00,iv_k_-0.30_T_2.00,iv_k_-0.20_T_2.00,iv_k_-0.10_T_2.00,iv_k_-0.05_T_2.00,iv_k_0.00_T_2.00,iv_k_0.05_T_2.00,iv_k_0.10_T_2.00,iv_k_0.20_T_2.00,iv_k_0.30_T_2.00
2010-04-14,0.3127216490844158,0.2689483097612208,0.2172424616771976,0.1870714691245163,0.153777754596328,0.1233111072145767,0.1119773214721204,0.1220090258991206,0.1380261720643683,0.2847448141165565,0.2513604985826161,0.2137220717941402,0.1930545099025098,0.1714441991164308,0.1504216021012958,0.134015961953463,0.1248976729156853,0.1313750696959046,0.2721925682317249,0.2450769942988621,0.2154643225251929,0.199731552822061,0.1836204947112868,0.1677471755533044,0.1534228193958943,0.1361357122801678,0.133999545350702,0.2636441364193033,0.2424701421927982,0.220029429119994,0.2084096767768877,0.1966615741552168,0.1850148412359015,0.1738641750671573,0.1554575671771361,0.1454732569466907,0.2592204221409686,0.2434845895684155,0.2272156818690024,0.2189389060837535,0.2106288560545442,0.2023624153505041,0.1942504266508971,0.1791308380594586,0.1668139110827149
2010-04-15,0.3128435263302937,0.2706802450571731,0.22139556219297,0.1930474981865236,0.1621510455235718,0.1327922084571745,0.1176459018894081,0.1223784683494904,0.1363306645183878,0.2863305227385711,0.254014762354097,0.2178429254313258,0.1981207976050181,0.1775564685751708,0.1573078575637503,0.1404133555873747,0.1273871636825938,0.1314065227768507,0.274006672634221,0.2475858903753191,0.218846932304385,0.2036196883704199,0.1880207134316046,0.1725464149754833,0.1582474061546478,0.139207480695221,0.1348705145678642,0.2650260657783115,0.244183642152052,0.222112308036514,0.210679874519091,0.1991016658701058,0.1875754444993232,0.1764427016929149,0.1575184965245294,0.1463661475249821,0.2594221654855584,0.2437174768504161,0.2274580070819648,0.2191712039275551,0.2108356713935746,0.2025223462216236,0.1943347868841952,0.1789483148050475,0.1661957289621135
2010-04-16,0.3251642962749298,0.2818242627702865,0.2313437333502537,0.2024640176158055,0.1712001684666563,0.1415946849949198,0.1256736676363016,0.1296361949579671,0.1438703028593902,0.2960771998108777,0.2631809825168662,0.2265037973938954,0.2066024497608368,0.1859457675343827,0.1656791519852338,0.1486554413547412,0.1347186997984497,0.138296044760793,0.2824310774828675,0.2557154855621157,0.2267669945125693,0.2114915936588876,0.1958959187711329,0.1804687893415035,0.1662014185724976,0.14677686236486,0.1417930628351141,0.2723153638752149,0.2513878070817794,0.2293021892783884,0.2178993180434127,0.2063785129397497,0.1949333310310269,0.1838876121538512,0.1649944996092379,0.153499052952986,0.2657244493354709,0.2500654803882415,0.2338981513938753,0.2256776318656695,0.2174220416147781,0.2092003813325634,0.201111210840371,0.1858992952589904,0.1731862077862383
2010-04-19,0.3288865309568303,0.284819969692056,0.2333625822287461,0.2037854201533891,0.1714996183177891,0.1403639158979333,0.1232609523088149,0.1267513508031998,0.1407318132711121,0.2978578556749628,0.264739382169223,0.2277445308379224,0.2076003543983106,0.186574956700653,0.1657049798359223,0.1477750650929424,0.1322113907748779,0.1350565805325949,0.283534818393147,0.2568226751015002,0.2278336999595919,0.2124922411129194,0.1967610765699354,0.1810706633864501,0.1663350771536875,0.145416047244228,0.1391694133854625,0.2731392225485758,0.2523573665550982,0.2303953083305943,0.2190275175199031,0.2075033109351085,0.1959889435047358,0.1847698692841729,0.16507660206244,0.1523242140717177,0.2666167924562621,0.2511594270979317,0.2351772347279271,0.2270325775715846,0.2188320210462367,0.2106335683415301,0.2025212214539572,0.187052790517548,0.1737129408302287
2010-04-20,0.3199382602896535,0.2766198751811839,0.2259258167759297,0.1967240604049421,0.1648669713013301,0.1347473987406262,0.1197422472935182,0.125319449481894,0.1398908640660144,0.2914642113459383,0.2585334807182546,0.2216733974798503,0.2015800924391432,0.1806409367949674,0.1600589884146454,0.1429637225446829,0.1299881977999116,0.1342409637943235,0.2783296675634616,0.251578896425479,0.2225040509446106,0.2071132367020345,0.1913608350716796,0.175750885456394,0.1613385719064133,0.1421190211164195,0.137690961704144,0.2688682655336885,0.247922636576629,0.2257717602245626,0.2143123216045246,0.2027168915808609,0.1911814876244263,0.1800404808425721,0.1610397897497585,0.1496737608964554,0.2631041369169791,0.247449924673436,0.231266658779895,0.2230281732358657,0.2147468582942457,0.2064913305278715,0.1983606131580145,0.1830520947802472,0.1702580511453968
2010-04-21,0.325733638944417,0.2820795336959313,0.2311744874030039,0.2020183317395907,0.1704639963847921,0.140874334341923,0.1257072063955115,0.130789015149123,0.1455481342727421,0.2955887828645284,0.2626264688533763,0.2258708437318845,0.2059349950460975,0.18527256607611,0.1650925555006599,0.1483466577706915,0.1352205414869779,0.1392720798769865,0.2815408429557285,0.2548782487458138,0.2260041062507147,0.2107845579407865,0.1952707425200945,0.1799708763120239,0.1658993945100287,0.1470241652974763,0.1424678055569182,0.2712246068517123,0.250431177149934,0.228511656103002,0.2172102835777495,0.2058084674483592,0.1945044566413518,0.1836256362698348,0.1651268853979532,0.15399247866607,0.2646178924116011,0.2491293728202085,0.2331591619506491,0.2250496995572759,0.2169148574271618,0.2088243542504986,0.2008767504750638,0.1859716517423339,0.1735619744594131
2010-04-22,0.3196239734114594,0.2769649666224416,0.2272520599355753,0.1987869891111365,0.167931740587796,0.1386543573834762,0.122923730886997,0.1268404318359882,0.1408137093589972,0.2922255225516066,0.2598447964246229,0.223754119847182,0.2041740325822263,0.1838443524301399,0.1638644574740052,0.1469869855126731,0.132860666504409,0.1361416974467751,0.27971469911255,0.2534356500634928,0.2249818081753848,0.2099746052270602,0.194651106203829,0.1794741967620982,0.1653811230823604,0.1458714264443177,0.1404922782742372,0.2708246483725304,0.2502629426378018,0.2285839221067398,0.2173967746788744,0.2060931034624629,0.194853739771392,0.1839797262971656,0.1651972335084637,0.1534212269676991,0.265565073475382,0.2502020894127925,0.2343536983951043,0.2262982891930692,0.2182076851405734,0.2101454900093081,0.2022020170858071,0.1871915140730997,0.1744700413673738
2010-04-23,0.3268224820935437,0.2830871156237026,0.2321261537996733,0.2029800289227125,0.1715189565138757,0.1421900424292237,0.1272754380493997,0.132553487978862,0.1474998307760822,0.2954745842574958,0.2625507453193774,0.2258643847631312,0.205991062842743,0.1854324458407765,0.1654292003293055,0.1489420476691384,0.1362445181540877,0.1404932397530655,0.2807259477056765,0.2541356239797241,0.2253587254103594,0.210207164838735,0.1947859327126782,0.1796184373867953,0.1657342321876298,0.1473296336824011,0.1431080474923501,0.2697198530130581,0.2490047578934972,0.2271807786788064,0.2159393078917899,0.2046112232986827,0.1934016400743309,0.182646410730575,0.1644996774053737,0.1537754142840484,0.2624028076857568,0.2469776908687428,0.2310813557686831,0.223015779429266,0.2149321160760519,0.2069029807165893,0.1990305830917416,0.1843331970642107,0.1722189938491613
2010-04-26,0.3233178594997549,0.2811089104741408,0.2322093599584092,0.2044264799669949,0.1745109757150022,0.1458109360161699,0.1285800020305178,0.1295556619768351,0.1425003635780436,0.294242938556111,0.2623659980763342,0.2269862632315487,0.2078722136586003,0.188070904565771,0.1685476841317577,0.1516676764479858,0.135832878666914,0.1377353213463784,0.2805747810442707,0.2547366010512016,0.2268337545914641,0.2121480624908953,0.197163316719527,0.1822967577008807,0.1683805150409784,0.1483712871537919,0.1419244564042404,0.2703502417517581,0.2501120991571412,0.2287969018857078,0.2178038243897479,0.2066953075468936,0.1956392506124634,0.1849135725580969,0.1661889106824537,0.1540613213292874,0.2634941829333535,0.2483135196357064,0.2326514515458767,0.2246886153705753,0.2166881287693091,0.2087111406348832,0.2008445764650613,0.1859450757746839,0.1732480967700046
2010-04-27,0.3542240523692764,0.3092308694173125,0.2575201844257442,0.22846595563023,0.1975542724265143,0.1679838966889687,0.1488331286678871,0.1470825826978425,0.1601550866616571,0.3162002392206192,0.2831274866540452,0.2467051479647935,0.2272005638191992,0.2071426744285207,0.1874517685807911,0.170196856924732,0.152252782217189,0.1527242999163775,0.297822989535157,0.2714668413193389,0.2432015992825143,0.22842779879742,0.2134303136532324,0.1986047829843733,0.1846887270322996,0.1639159375759469,0.1560210910909369,0.2834130836111859,0.2630975221784556,0.2418211984949704,0.2309032948873133,0.2199088088043204,0.2089963026848179,0.198416012690997,0.1797574693465893,0.1670742682428972,0.2727270381832117,0.257696685496649,0.2422533860041006,0.2344283367187288,0.2265839531506622,0.2187780631096836,0.2110903596046909,0.1965154438367392,0.1839581893679755
